,username,wafer_num,pos,cap_diam,cap_ind,flags,-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
40,Wafer5_mid_100d_p1,5,CENTER,100.0,1,,6.122862531758257e-11,6.123105448831513e-11,6.110079803983011e-11,6.102795289442796e-11,6.094450857193694e-11,6.087905775407149e-11,6.079407444024446e-11,6.068477034733379e-11,6.062394242664179e-11,6.056679888296365e-11,6.040092250470361e-11,6.036872264006157e-11,6.033661064230916e-11,6.026000091324817e-11,6.026236119330891e-11,6.012701012916583e-11,6.004640968752718e-11,6.001266841985651e-11,5.997444493569679e-11,5.991567763092412e-11,5.993019775126669e-11
41,Wafer5_mid_100d_p2_d,5,CENTER,100.0,2,d,5.911756739554568e-11,5.904530990395411e-11,5.8921771822016e-11,5.881304498410134e-11,5.873887358394829e-11,5.864035237946907e-11,5.855140573681431e-11,5.849945081161117e-11,5.835738036043018e-11,5.827664100063342e-11,5.823925391977093e-11,5.818603987289501e-11,5.815462297096882e-11,5.814314080013884e-11,5.809666053207706e-11,5.8143754037209345e-11,5.8125124152635205e-11,5.812561739436087e-11,5.8122878323782314e-11,5.8135936633975454e-11,5.813879357078478e-11
43,Wafer5_mid_100d_p3,5,CENTER,100.0,3,,6.094259850569459e-11,6.089634497994562e-11,6.075686970416942e-11,6.071992066770034e-11,6.067332943232244e-11,6.055726687992184e-11,6.047950543678732e-11,6.034277858038974e-11,6.029897358748561e-11,6.023290407930827e-11,6.018325235553401e-11,6.013862190873076e-11,6.000713596356776e-11,5.998596575476643e-11,5.990724325517862e-11,5.984794198478368e-11,5.978872290233453e-11,5.972044619948682e-11,5.967142015312101e-11,5.965037450642122e-11,5.963802223620571e-11
44,Wafer5_mid_100d_p4_d,5,CENTER,100.0,4,d,6.054569629632972e-11,6.045786640363083e-11,6.035842730214885e-11,6.024889075431466e-11,6.018137719598096e-11,6.008003748223659e-11,5.997569889520811e-11,5.997218870414787e-11,5.986816987212199e-11,5.979795723279121e-11,5.973048696277452e-11,5.965681252086963e-11,5.9691415493556e-11,5.963536609074462e-11,5.96574582367601e-11,5.965314084061011e-11,5.965063644505239e-11,5.961828704854357e-11,5.965728822947415e-11,5.963836116634733e-11,5.964347110644962e-11
45,Wafer5_mid_100d_p5,5,CENTER,100.0,5,,5.37065559046485e-11,5.358106805293417e-11,5.352453732275848e-11,5.3448332439160295e-11,5.341500592141013e-11,5.333723381972865e-11,5.328028900310386e-11,5.320085938587792e-11,5.315774576094292e-11,5.3085062638875615e-11,5.297009560108031e-11,5.2924861046952876e-11,5.287412336216304e-11,5.281712771017104e-11,5.274868415353844e-11,5.267345451215431e-11,5.2607328390673457e-11,5.2561795220004154e-11,5.261190951651134e-11,5.254280754406297e-11,5.251234790916338e-11
46,Wafer5_mid_100d_p6_d,5,CENTER,100.0,6,d,5.867100681622717e-11,5.849973319484764e-11,5.84339141812611e-11,5.834994122906741e-11,5.827378889395782e-11,5.819434517394652e-11,5.8094826371441464e-11,5.799167610957919e-11,5.7925242550031745e-11,5.786972037668903e-11,5.787801122965118e-11,5.7820898162625966e-11,5.784239418944914e-11,5.779269599774828e-11,5.779068805866037e-11,5.773144384575802e-11,5.776691997493189e-11,5.774779229458672e-11,5.773829445114124e-11,5.777072036505269e-11,5.775615885235265e-11
47,Wafer5_mid_100d_p7_d,5,CENTER,100.0,7,d,5.897512700263393e-11,5.888581992655184e-11,5.878959600793137e-11,5.863874690988451e-11,5.85821683379363e-11,5.848525254455039e-11,5.839521065893072e-11,5.832623496768782e-11,5.825390562056845e-11,5.822479862643189e-11,5.811382541365241e-11,5.811689239133157e-11,5.805625784580764e-11,5.8108379015780565e-11,5.806703602477825e-11,5.8070495829703405e-11,5.810162941246938e-11,5.802603853860614e-11,5.807556405462546e-11,5.807147878679534e-11,5.8057032974844543e-11
568,Wafer6_B_100_p1,6,BOTTOM,100.0,1,,4.7663297433499293e-11,4.780826293286112e-11,4.8171681394178136e-11,4.811586235358346e-11,4.748531615276473e-11,4.733534310127321e-11,4.74417687550403e-11,4.730745509120404e-11,4.724140463442764e-11,4.7368912300805075e-11,4.753515311054996e-11,4.7255877154777537e-11,4.6628229666225835e-11,4.6873116550462575e-11,4.682146743594118e-11,4.6834017317808226e-11,4.674117276829289e-11,4.651886107614689e-11,4.635619205151632e-11,4.679217716421344e-11,4.6741200450059193e-11
322,Wafer6_M_100d_p1,6,CENTER,100.0,1,,6.078690856813463e-11,6.079068383415522e-11,6.066859802285084e-11,6.061195498761173e-11,6.053179147518754e-11,6.042362363623102e-11,6.034113713097518e-11,6.031386904410504e-11,6.025821205571667e-11,6.019134308278715e-11,6.011620666833812e-11,6.004352306677269e-11,6.001678303429792e-11,5.99458708563232e-11,5.9898258757242e-11,5.985166466301465e-11,5.979290006061356e-11,5.978019856157554e-11,5.972933024466984e-11,5.970463723309723e-11,5.96326865658143e-11
441,Wafer6_R_100d_p1_d,6,RIGHT,100.0,1,d,6.303618144257798e-11,6.294970253852792e-11,6.289737700799371e-11,6.281237527969973e-11,6.273495724282537e-11,6.267543171626032e-11,6.257270184385286e-11,6.25261130509894e-11,6.245808682037504e-11,6.238101345355859e-11,6.236370429576511e-11,6.235389192078654e-11,6.230800497292014e-11,6.226367218546824e-11,6.22675114449247e-11,6.225804574963948e-11,6.225658268268863e-11,6.219866873575891e-11,6.224231893005036e-11,6.224315285827935e-11,6.227536423218526e-11
442,Wafer6_R_100d_p2,6,RIGHT,100.0,2,,6.220932896018515e-11,6.210487594931949e-11,6.204894752479899e-11,6.198041077062563e-11,6.19229827003798e-11,6.18175217629665e-11,6.176244948484716e-11,6.167656296360444e-11,6.163293464517962e-11,6.158410896613208e-11,6.147355892059857e-11,6.13910780938112e-11,6.135888697487392e-11,6.126376414194811e-11,6.121935302524344e-11,6.116792996690139e-11,6.114301022371e-11,6.106110916985914e-11,6.104472913157669e-11,6.099604794963909e-11,6.09270667954171e-11
444,Wafer6_R_100d_p3,6,RIGHT,100.0,3,,6.002325563930105e-11,5.989002794366171e-11,5.981377296835335e-11,5.977060097440226e-11,5.966079983772987e-11,5.958926445722509e-11,5.949584272622916e-11,5.945814146641728e-11,5.937017281048689e-11,5.936738630508541e-11,5.922283284705647e-11,5.919870702499407e-11,5.914562497617222e-11,5.907028381933148e-11,5.89978703750493e-11,5.902648446000925e-11,5.89902863981192e-11,5.895367403790347e-11,5.888333655790758e-11,5.889242562606448e-11,5.886748157664295e-11
447,Wafer6_R_100d_p4,6,RIGHT,100.0,4,,6.1107936830752e-11,6.095860276642037e-11,6.091286406228034e-11,6.083926060616336e-11,6.079259023535775e-11,6.069429403119234e-11,6.069995408084061e-11,6.056077105399343e-11,6.052877383643048e-11,6.045507918416162e-11,6.036841819618014e-11,6.034322239587946e-11,6.025045054363292e-11,6.021059932700941e-11,6.019597402273192e-11,6.009947183194156e-11,6.009379360310357e-11,6.003834995186738e-11,6.00746893466172e-11,6.002592483406499e-11,5.998520029858532e-11
499,Wafer6_T_100d_p1,6,TOP,100.0,1,,5.796765005354866e-11,5.787793231931497e-11,5.775733474475455e-11,5.773808392082067e-11,5.764823751224084e-11,5.75456266497401e-11,5.7504852988233245e-11,5.7453915798396315e-11,5.7335060601475514e-11,5.732300364496498e-11,5.723383399906226e-11,5.715514383701121e-11,5.708498156270343e-11,5.7030326592730766e-11,5.698028985587188e-11,5.6946004802481524e-11,5.685164805138453e-11,5.680720416877559e-11,5.679537954141784e-11,5.6801856924560313e-11,5.675160237748114e-11
500,Wafer6_T_100d_p2,6,TOP,100.0,2,,5.827097717036079e-11,5.812664967641837e-11,5.809824714351639e-11,5.8048500637238905e-11,5.7951963676564465e-11,5.7979833290802844e-11,5.788903994352799e-11,5.7802942073434253e-11,5.778950444305551e-11,5.771085750023984e-11,5.7673385602258697e-11,5.7604980299696686e-11,5.756982445925224e-11,5.757911302338715e-11,5.752576977330177e-11,5.748345148868239e-11,5.743251019790338e-11,5.743474485858649e-11,5.7427187288380514e-11,5.742762959071106e-11,5.7361950951096143e-11
501,Wafer6_T_100d_p3,6,TOP,100.0,3,,5.491054146675984e-11,5.4812137874768e-11,5.4794656822362336e-11,5.4755027438093165e-11,5.459340756360284e-11,5.457522381946215e-11,5.453310207820234e-11,5.449747087534721e-11,5.4396576511269495e-11,5.437386259342783e-11,5.4334760970719587e-11,5.430284501406257e-11,5.418544507064108e-11,5.422259910042979e-11,5.416339544783697e-11,5.407731695876738e-11,5.40876872027721e-11,5.4063639044659144e-11,5.406649620800107e-11,5.407986931743608e-11,5.406843010402436e-11
502,Wafer6_T_100d_p4,6,TOP,100.0,4,,5.926107298527957e-11,5.915654861303393e-11,5.909983136649446e-11,5.905456186852356e-11,5.895260505873383e-11,5.886631691756227e-11,5.883244413147121e-11,5.875705375059306e-11,5.869717537933216e-11,5.862029371539252e-11,5.854161506928246e-11,5.853381481569731e-11,5.845060170798632e-11,5.8397072604713e-11,5.83487704387219e-11,5.828472693028546e-11,5.825623443756249e-11,5.8199213426198925e-11,5.818059506789961e-11,5.82139606481375e-11,5.818583925452382e-11
