,username,wafer_num,pos,cap_diam,cap_ind,flags
268,Wafer5_B_200d_p1,5,BOTTOM,200.0,1,
269,Wafer5_B_200d_p2,5,BOTTOM,200.0,2,
270,Wafer5_B_200d_p3,5,BOTTOM,200.0,3,
274,Wafer5_B_300d_p1,5,BOTTOM,300.0,1,
275,Wafer5_B_300d_p2,5,BOTTOM,300.0,2,
281,Wafer5_B_400d_p1,5,BOTTOM,400.0,1,
285,Wafer5_B_500d_p1,5,BOTTOM,500.0,1,
296,Wafer5_B_600d_p1,5,BOTTOM,600.0,1,
315,Wafer5_B_900d_p1_d,5,BOTTOM,900.0,1,d
316,Wafer5_B_900d_p2,5,BOTTOM,900.0,2,
317,Wafer5_B_1000d_p1,5,BOTTOM,1000.0,1,
318,Wafer5_B_1000d_p2,5,BOTTOM,1000.0,2,
320,Wafer5_B_1000d_p3,5,BOTTOM,1000.0,3,
40,Wafer5_mid_100d_p1,5,CENTER,100.0,1,
41,Wafer5_mid_100d_p2_d,5,CENTER,100.0,2,d
43,Wafer5_mid_100d_p3,5,CENTER,100.0,3,
44,Wafer5_mid_100d_p4_d,5,CENTER,100.0,4,d
45,Wafer5_mid_100d_p5,5,CENTER,100.0,5,
46,Wafer5_mid_100d_p6_d,5,CENTER,100.0,6,d
47,Wafer5_mid_100d_p7_d,5,CENTER,100.0,7,d
30,Wafer5_mid_200d_p1,5,CENTER,200.0,1,
31,Wafer5_mid_200d_p2_d,5,CENTER,200.0,2,d
33,Wafer5_mid_200d_p3_n,5,CENTER,200.0,3,n
34,Wafer5_mid_200d_p4_d,5,CENTER,200.0,4,d
36,Wafer5_mid_200d_p5_d,5,CENTER,200.0,5,d
38,Wafer5_mid_200d_p6_d,5,CENTER,200.0,6,d
39,Wafer5_mid_200d_p7,5,CENTER,200.0,7,
23,Wafer5_mid_300d_p1,5,CENTER,300.0,1,
27,Wafer5_mid_300d_p2,5,CENTER,300.0,2,
28,Wafer5_mid_300d_p3_d,5,CENTER,300.0,3,d
29,Wafer5_mid_300d_p4,5,CENTER,300.0,4,
12,Wafer5_mid_400d,5,CENTER,400.0,1,
13,Wafer5_mid_400d_p2,5,CENTER,400.0,2,
15,Wafer5_mid_400d_p3,5,CENTER,400.0,3,
48,Wafer5_mid_500d_p1_d,5,CENTER,500.0,1,d
50,Wafer5_mid_500d_p2,5,CENTER,500.0,2,
51,Wafer5_mid_500d_p3_d,5,CENTER,500.0,3,d
54,Wafer5_mid_500d_p4_d,5,CENTER,500.0,4,d
55,Wafer5_mid_500d_p5,5,CENTER,500.0,5,
57,Wafer5_mid_500d_p6,5,CENTER,500.0,6,
58,Wafer5_mid_600d_p1,5,CENTER,600.0,1,
63,Wafer5_mid_600d_p2,5,CENTER,600.0,2,
64,Wafer5_mid_600d_p3_d,5,CENTER,600.0,3,d
70,Wafer5_mid_700d_p1_d,5,CENTER,700.0,1,d
72,Wafer5_mid_700d_p2,5,CENTER,700.0,2,
75,Wafer5_mid_700d_p3,5,CENTER,700.0,3,
76,Wafer5_mid_700d_p4_d,5,CENTER,700.0,4,d
81,Wafer5_mid_700d_p5_d,5,CENTER,700.0,5,d
85,Wafer5_mid_700d_p6_d,5,CENTER,700.0,6,d
88,Wafer5_mid_800d_p1_d,5,CENTER,800.0,1,d
93,Wafer5_mid_800d_p2,5,CENTER,800.0,2,
94,Wafer5_mid_800d_p3_d,5,CENTER,800.0,3,d
95,Wafer5_mid_800d_p4,5,CENTER,800.0,4,
96,Wafer5_mid_800d_p5_d,5,CENTER,800.0,5,d
98,Wafer5_mid_900d_p1,5,CENTER,900.0,1,
100,Wafer5_mid_900d_p2_d,5,CENTER,900.0,2,d
101,Wafer5_mid_900d_p3,5,CENTER,900.0,3,
103,Wafer5_mid_900d_p4_d,5,CENTER,900.0,4,d
104,Wafer5_mid_900d_p5,5,CENTER,900.0,5,
133,Wafer5_L_700d_p1,5,LEFT,700.0,1,
113,Wafer5_L_1000d_p1,5,LEFT,1000.0,1,
114,Wafer5_L_1000d_p2_d,5,LEFT,1000.0,2,d
237,Wafer5_R_600d_p1_d,5,RIGHT,600.0,1,d
238,Wafer5_R_600d_p2,5,RIGHT,600.0,2,
244,Wafer5_R_700d_p1,5,RIGHT,700.0,1,
254,Wafer5_R_900d_p1,5,RIGHT,900.0,1,
256,Wafer5_R_900d_p2,5,RIGHT,900.0,2,
258,Wafer5_R_1000d_p1,5,RIGHT,1000.0,1,
192,Wafer5_T_600d_p1,5,TOP,600.0,1,
568,Wafer6_B_100_p1,6,BOTTOM,100.0,1,
585,Wafer6_B_400_p1,6,BOTTOM,400.0,1,
589,Wafer6_B_400_p2,6,BOTTOM,400.0,2,
596,Wafer6_B_600dep_p1,6,BOTTOM,600.0,1,d
597,Wafer6_B_600_p2,6,BOTTOM,600.0,2,
599,Wafer6_B_600_p3,6,BOTTOM,600.0,3,
603,Wafer6_B_600_p4,6,BOTTOM,600.0,4,
605,Wafer6_B_700_p1,6,BOTTOM,700.0,1,
611,Wafer6_B_700_p2,6,BOTTOM,700.0,2,
627,Wafer6_B_1000dep_p1,6,BOTTOM,1000.0,1,d
628,Wafer6_B_1000_p2,6,BOTTOM,1000.0,2,
633,Wafer6_B_1000_p3,6,BOTTOM,1000.0,3,
322,Wafer6_M_100d_p1,6,CENTER,100.0,1,
331,Wafer6_M_200d_p1_d,6,CENTER,200.0,1,d
332,Wafer6_M_200d_p2,6,CENTER,200.0,2,
333,Wafer6_M_200d_p3,6,CENTER,200.0,3,
341,Wafer6_M_400d_p1_d,6,CENTER,400.0,1,d
342,Wafer6_M_400d_p2,6,CENTER,400.0,2,
343,Wafer6_M_400d_p3,6,CENTER,400.0,3,
348,Wafer6_M_500d_p1_d,6,CENTER,500.0,1,d
349,Wafer6_M_500d_p2,6,CENTER,500.0,2,
350,Wafer6_M_500d_p3,6,CENTER,500.0,3,
355,Wafer6_M_600d_p1,6,CENTER,600.0,1,
356,Wafer6_M_600d_p2,6,CENTER,600.0,2,
357,Wafer6_M_600d_p3,6,CENTER,600.0,3,
360,Wafer6_M_700d_p1,6,CENTER,700.0,1,
377,Wafer6_M_1000d_p1,6,CENTER,1000.0,1,
380,Wafer6_M_1000d_p2,6,CENTER,1000.0,2,
507,Wafer6_L_200d_p1,6,LEFT,200.0,1,
512,Wafer6_L_300d_p1_d,6,LEFT,300.0,1,d
513,Wafer6_L_300d_p2,6,LEFT,300.0,2,
531,Wafer6_L_600_p1,6,LEFT,600.0,1,
539,Wafer6_L_700d_p1,6,LEFT,700.0,1,
540,Wafer6_L_700_p2,6,LEFT,700.0,2,
541,Wafer6_L_700_p3,6,LEFT,700.0,3,
543,Wafer6_L_700_p4,6,LEFT,700.0,4,
548,Wafer6_L_800_p1,6,LEFT,800.0,1,
